Year,WMGHG,Ozone,Solar,Land_Use,SnowAlb_BC,Orbital,TropAerDir,TropAerInd,StratAer,Temperature,Ocean
1850,0,0,0,0,0,0,0,0.00E+00,0,,
1851,0.00595381,0.0007451,0.00116604,-0.0009399,0.00064918,0.00065287,0.00064918,-4.97E-06,0.0290878,,
1852,0.0105023,0.0009093,-0.0107559,-0.0025309,0.00064918,0.00067144,0.00064918,-4.97E-06,0.0567119,,
1853,0.0145867,0.0010197,-0.0272202,-0.0041234,0.00064918,0.00068834,0.00064918,-4.97E-06,0.0772597,,
1854,0.0205211,0.0011879,-0.0455392,-0.0057172,0.00064918,0.00068922,0.00064918,-4.97E-06,0.0857585,,
1855,0.0247824,0.0012908,-0.0571712,-0.0073145,0.00064918,0.00069598,0.00064918,-4.97E-06,0.0210179,,
1856,0.0301393,0.0014069,-0.0567553,-0.0089067,0.00064918,0.00071421,0.00064918,-4.97E-06,-0.94034,,
1857,0.0349641,0.001574,-0.0404164,-0.0104946,0.00064918,0.00072122,0.00064918,-4.97E-06,-1.43977,,
1858,0.0407275,0.0016897,-0.0116768,-0.0120944,0.00064918,0.00073519,0.00064918,-4.97E-06,-0.619864,,
1859,0.0469391,0.0018438,0.0207578,-0.0136901,0.00064918,0.0007484,0.00064918,-4.97E-06,-0.188948,,
1860,0.051305,0.0019536,0.0306724,-0.0152904,0.00064918,0.00074582,0.00064918,-4.97E-06,-0.0224105,,
1861,0.0572548,0.0021065,0.0142627,-0.0165679,0.00064918,0.00076675,0.00064918,-4.97E-06,-0.0036929,,
1862,0.0613428,0.0022241,-0.00811888,-0.0178583,0.00064918,0.00076811,0.00064918,-4.97E-06,-0.261939,,
1863,0.06591,0.0023757,-0.0206817,-0.0191414,0.00064918,0.00078898,0.00064918,-4.97E-06,-0.159886,,
1864,0.0713865,0.0024891,-0.0301546,-0.0204288,0.00064918,0.00079525,0.00064918,-4.97E-06,-0.0236355,,
1865,0.0760711,0.0026446,-0.0435712,-0.0217152,0.00064918,0.00080506,0.00064918,-4.97E-06,0.0429983,,
1866,0.0804775,0.0028035,-0.0531423,-0.0230044,0.00064918,0.00080744,0.00064918,-4.97E-06,0.072114,,
1867,0.0843025,0.0029118,-0.0608948,-0.0242907,0.00064918,0.0008211,0.00064918,-4.97E-06,0.0836421,,
1868,0.0888651,0.0030743,-0.0371051,-0.0255704,0.00064918,0.00083317,0.00064918,-4.97E-06,0.0874486,,
1869,0.0943747,0.0031691,-0.00194151,-0.0268602,0.00064918,0.00084771,0.00064918,-4.97E-06,0.0767415,,
1870,0.0994523,0.0033322,0.0335946,-0.0281532,0.00064918,0.00085657,0.00064918,-4.97E-06,0.0770315,,
1871,0.105472,0.0035034,0.0246839,-0.0300729,0.00064918,0.00086839,0.00064918,-4.97E-06,0.0771131,,
1872,0.111412,0.0036085,0.0177421,-0.0319903,0.00064918,0.00087722,0.00064918,-4.97E-06,0.0569263,,
1873,0.118179,0.0037624,-0.0121626,-0.0339098,0.00064918,0.00088006,0.00064918,-4.97E-06,0.014582,,
1874,0.126102,0.00388,-0.031411,-0.0358324,0.00064918,0.00089551,0.00064918,-4.97E-06,0.043909,,
